98,1963,18
97,2688,6
98,273,6
99,585,17
99,1356,21
97,1778,1
99,2333,22
98,1549,3
99,2897,10
100,648,4
100,766,4
99,1167,1
102,1505,24
100,1999,7
101,2258,8
102,463,7
103,594,21
101,639,1
102,775,4
102,1216,11
102,1257,1
104,1374,16
105,248,11
104,334,8
104,1007,5
105,1548,5
106,234,3
105,778,2
107,1391,14
105,1717,7
105,2285,1
106,2432,9
106,2577,4
106,3042,13
106,896,2
106,2588,1
108,2636,22
107,2894,2
107,65,1
108,417,4
108,501,10
109,589,12
108,2413,13
110,225,17
110,2319,17
109,2336,4
108,2738,2
110,528,9
110,826,4
109,1303,2
110,1620,2
110,1861,13
112,2552,51
111,1042,6
111,1819,6
111,301,3
112,965,4
112,1559,6
112,2011,5
111,2287,2
112,2890,7
112,917,2
114,1275,43
112,1813,6
113,155,1
114,372,3
114,885,8
114,1712,8
114,1946,6
113,2159,1
115,243,7
115,855,9
115,1707,5
115,1727,7
114,2186,1
115,3124,7
115,920,3
117,376,3
118,744,18
118,1101,29
117,1476,4
117,1808,7
116,2560,2
119,816,28
117,930,1
117,1985,1
118,96,1
118,1395,5
118,2268,6
119,2716,4
118,2881,1
119,827,5
120,1206,9
120,1268,3
120,1472,2
120,3040,6
121,1083,3
120,1289,2
121,1976,2
121,2329,5
121,2619,3
122,3004,26
122,599,5
122,644,4
121,1446,2
122,1545,8
121,1695,1
123,344,9
124,758,8
124,1490,9
123,2068,1
123,2119,2
124,172,2
125,1269,5
125,1321,2
126,657,8
126,2382,7
128,385,16
128,1432,16
128,1595,15
130,1858,44
128,1063,1
128,1273,1
131,649,12
131,1101,26
131,1766,7
130,1868,15
131,1083,4
131,3023,4
131,3129,9
132,794,7
133,1557,21
134,1046,16
133,1453,6
133,2115,3
133,2156,6
132,2432,2
134,1837,11
134,2269,5
133,2336,5
134,49,3
135,447,13
135,1656,10
136,576,8
136,1427,6
136,1763,9
136,2237,6
136,976,1
138,983,12
137,1375,5
137,1821,11
139,1461,25
137,1879,1
139,1992,6
140,2432,19
138,3085,1
139,616,1
141,716,19
139,817,1
141,1116,17
141,2564,26
140,2799,5
142,92,23
140,416,3
141,1421,4
143,1014,16
143,1985,24
143,2140,19
142,2781,9
142,682,1
143,726,8
143,1893,2
143,2535,12
144,2619,11
143,738,1
146,1967,32
144,1324,2
145,1639,7
146,1068,6
146,1140,2
146,155,3
146,2266,5
149,66,12
147,278,1
148,566,8
149,1443,12
148,1513,7
148,1591,7
148,2894,14
149,317,9
149,488,12
149,687,4
149,1816,8
148,1862,6
149,2380,2
151,2904,32
150,1369,15
151,1430,23
150,1472,4
149,1786,2
151,2287,22
149,2660,5
151,139,12
152,501,12
152,1231,18
152,1284,15
151,1794,4
152,300,6
152,571,10
151,1272,2
152,2340,4
151,2461,2
152,2888,12
152,2918,7
154,67,18
154,1347,18
152,1867,2
154,1784,10
154,3100,4
155,538,7
155,1058,7
156,1422,18
155,2261,9
156,1768,4
156,2266,11
157,420,9
158,1456,18
158,1668,16
157,1950,13
156,2848,1
156,3027,2
158,862,1
160,1693,16
161,2381,13
162,1137,12
161,1165,8
161,1461,12
161,2116,6
162,582,7
163,1046,15
161,1946,2
164,474,40
163,1171,7
163,387,1
164,897,11
163,1064,1
165,1942,23
164,2069,9
165,2441,16
164,89,2
165,421,4
165,2226,4
167,519,17
166,2027,3
167,2474,15
167,1660,4
167,2230,9
167,2427,2
167,947,1
168,990,6
168,1439,5
170,397,9
168,549,1
168,1303,5
169,1825,8
170,669,3
169,974,1
170,1018,5
170,1472,10
171,2166,24
171,2466,13
171,150,9
170,218,1
172,1637,18
171,1951,5
174,1229,25
172,1680,4
172,1941,5
172,1090,3
172,1401,3
172,2795,2
173,168,2
174,477,10
174,773,7
174,1650,4
174,3140,5
175,715,6
176,2436,18
176,1098,12
177,2082,8
176,1201,4
177,2555,4
177,2767,7
177,2831,5
177,2984,5
179,81,14
178,636,4
178,2067,6
179,1233,5
178,1554,1
179,1867,3
180,2196,17
180,2703,21
180,435,4
179,569,1
180,824,16
182,894,36
181,1593,21
180,1784,11
181,550,8
181,1489,6
182,1771,27
180,2169,3
181,2314,5
180,2551,3
181,476,2
182,715,11
184,1310,37
183,1725,26
182,1978,4
183,425,4
183,981,7
183,1271,10
182,2301,1
182,2805,1
183,969,1
184,1395,3
184,1636,7
183,1966,1
184,634,1
184,2887,2
185,176,1
185,320,1
186,1221,3
185,1452,2
185,1674,5
185,2562,5
187,397,10
187,454,7
188,655,25
187,971,2
188,1162,11
189,2026,34
187,1041,1
188,2063,10
188,2461,6
189,2370,6
190,498,4
190,859,5
190,1060,11
191,2200,21
191,473,4
190,1083,2
191,1657,5
191,1779,10
192,2139,14
190,2435,1
192,767,8
191,2144,1
194,981,23
192,1194,5
194,2517,20
193,2749,6
193,2868,8
194,440,3
194,749,10
194,845,8
194,872,4
194,1088,10
194,1622,7
193,2027,1
194,2912,6
194,903,3
196,1344,15
195,1594,13
195,2825,8
196,1450,10
195,1737,1
197,2056,9
195,2256,1
197,2481,70
196,755,4
197,2833,9
198,1318,11
200,1022,22
199,1556,9
199,1715,4
199,2604,4
199,93,2
200,835,9
201,1456,12
200,1769,5
201,1823,5
201,2219,7
201,2527,11
201,1984,2
203,2158,8
203,27,2
204,1162,13
203,1983,10
203,2132,7
